[1.00000003 0.        ]
[0.81999999 0.18      ]
[0.53999999 0.45999999]
[0.14       0.86000001]
[0.23999999 0.75999999]
[0.1        0.89999998]
[0.22 0.78]
[0.08 0.92]
[0.08       0.92000002]
[0.14       0.85999998]
[0.26       0.74000001]
[0.26       0.74000001]
[0.26       0.74000001]
[0.26000001 0.74000001]
[0.24       0.75999999]
[0.36000001 0.63999999]
[0.22 0.78]
[0.26       0.73999998]
[0.26       0.74000001]
[0.16 0.84]
[0.22 0.78]
[0.18       0.81999999]
[0.12       0.88000003]
[0.18       0.81999999]
[0.26       0.74000001]
[0.2        0.79999998]
[0.12       0.88000003]
[0.18       0.81999999]
[0.16 0.84]
[0.23999999 0.76000002]
[0.18       0.82000002]
[0.14       0.85999998]
[0.16 0.84]
[0.22 0.78]
[0.22 0.78]
[0.2        0.80000001]
[0.24000001 0.76000002]
[0.12 0.88]
[0.18000001 0.81999999]
[0.16 0.84]
[0.22000001 0.78      ]
[0.08       0.91999999]
[0.22       0.77999999]
[0.26       0.73999998]
[0.14       0.86000001]
[0.2        0.80000001]
[0.2        0.79999998]
[0.18       0.82000002]
[0.3        0.70000002]
[0.16 0.84]
[0.2        0.79999998]
[0.14       0.85999998]
[0.28       0.72000003]
[0.14       0.86000001]
[0.3 0.7]
[0.22 0.78]
[0.24000001 0.76000002]
[0.18       0.81999999]
[0.27999999 0.72      ]
[0.2        0.80000001]
[0.22 0.78]
[0.2        0.80000001]
[0.2        0.80000001]
[0.2        0.80000001]
[0.08       0.92000002]
[0.18       0.81999999]
[0.22 0.78]
[0.18       0.81999999]
[0.14       0.86000001]
[0.08       0.91999999]
[0.18       0.81999999]
[0.12 0.88]
[0.16       0.83999999]
[0.23999999 0.76000002]
[0.2        0.80000001]
[0.16 0.84]
[0.16 0.84]
[0.20000001 0.80000001]
[0.36       0.63999999]
[0.27999999 0.72      ]
[0.31999999 0.68000001]
[0.14       0.85999998]
[0.18       0.81999999]
[0.18       0.81999999]
[0.24000001 0.76000002]
[0.16       0.83999997]
[0.2        0.79999998]
[0.14       0.85999998]
[0.14       0.86000001]
[0.22 0.78]
[0.26       0.74000001]
[0.08       0.92000002]
[0.06 0.94]
[0.23999999 0.76000002]
[0.18       0.82000002]
[0.26000001 0.73999999]
[0.2        0.80000001]
[0.2        0.80000001]
[0.3        0.70000002]
[0.22 0.78]
[0.24       0.75999999]
[0.26000001 0.74000001]
[0.14       0.85999998]
[0.18000001 0.81999999]
