[1. 0.]
[0.36000001 0.63999999]
[0.2        0.80000001]
[0.2        0.80000001]
[0.27999999 0.72      ]
[0.18       0.81999999]
[0.22 0.78]
[0.18       0.81999999]
[0.32       0.68000001]
[0.23999999 0.76000002]
[0.2        0.79999998]
[0.14       0.85999998]
[0.31999999 0.67999998]
[0.18       0.81999999]
[0.22       0.78000002]
[0.16 0.84]
[0.16 0.84]
[0.18       0.81999999]
[0.18       0.81999999]
[0.22 0.78]
[0.26       0.74000002]
[0.2        0.80000001]
[0.26       0.74000001]
[0.08       0.91999999]
[0.16 0.84]
[0.16 0.84]
[0.22       0.77999997]
[0.16 0.84]
[0.18       0.81999999]
[0.3        0.70000002]
[0.18       0.81999999]
[0.22 0.78]
[0.16       0.83999999]
[0.18       0.81999999]
[0.23999999 0.76000002]
[0.3 0.7]
[0.14       0.86000001]
[0.1        0.89999998]
[0.12 0.88]
[0.24       0.75999999]
[0.2        0.80000001]
[0.22 0.78]
[0.28 0.72]
[0.1        0.90000001]
[0.14       0.85999998]
[0.18       0.81999999]
[0.2        0.80000001]
[0.2        0.80000001]
[0.14       0.85999998]
[0.1        0.90000001]
[0.18       0.82000002]
[0.26000001 0.74000001]
[0.24       0.75999999]
[0.2        0.80000001]
[0.14       0.85999998]
[0.2        0.79999998]
[0.27999999 0.72      ]
[0.08       0.92000002]
[0.2        0.79999998]
[0.28 0.72]
[0.22 0.78]
[0.22 0.78]
[0.23999999 0.76000002]
[0.28 0.72]
[0.26       0.73999998]
[0.2        0.79999998]
[0.18       0.81999999]
[0.22 0.78]
[0.16 0.84]
[0.26       0.73999998]
[0.24000001 0.76000002]
[0.16 0.84]
[0.34 0.66]
[0.2        0.80000001]
[0.22 0.78]
[0.26       0.74000001]
[0.22 0.78]
[0.24       0.76000002]
[0.26       0.74000001]
[0.14       0.86000001]
[0.14       0.86000001]
[0.22 0.78]
[0.31999999 0.68000001]
[0.18       0.82000002]
[0.2        0.79999998]
[0.24       0.76000002]
[0.24       0.75999999]
[0.1        0.89999998]
[0.18       0.82000002]
[0.22 0.78]
[0.2        0.80000001]
[0.2        0.80000001]
[0.18       0.81999999]
[0.31999999 0.68000001]
[0.14       0.86000001]
[0.18       0.81999999]
[0.22 0.78]
[0.26000001 0.74000001]
[0.26       0.74000001]
[0.24       0.75999999]
[0.12 0.88]
[0.2        0.79999998]
[0.18       0.81999999]
[0.26       0.74000001]
[0.2        0.79999998]
[0.24       0.75999999]
[0.26       0.74000001]
[0.18       0.81999999]
[0.2        0.79999998]
[0.2        0.80000001]
[0.1        0.90000001]
[0.31999999 0.68000001]
[0.1        0.90000004]
[0.24       0.75999999]
[0.18       0.81999999]
[0.2        0.79999998]
[0.12       0.88000003]
[0.16 0.84]
[0.22 0.78]
[0.22 0.78]
[0.2        0.80000001]
[0.22000001 0.78      ]
[0.32       0.68000001]
[0.3        0.69999999]
[0.26000001 0.74000001]
[0.23999999 0.75999999]
[0.22 0.78]
[0.26       0.73999998]
[0.26       0.74000001]
[0.16       0.83999997]
[0.26       0.74000001]
[0.27999999 0.72      ]
[0.2        0.80000001]
[0.18       0.82000002]
[0.42       0.58000001]
[0.36       0.64000002]
[0.22 0.78]
[0.2        0.79999998]
[0.24       0.75999999]
[0.18       0.81999999]
[0.22       0.77999997]
[0.04       0.96000001]
[0.22 0.78]
[0.26       0.74000001]
[0.2        0.80000001]
[0.16 0.84]
[0.14       0.86000001]
[0.26000001 0.74000002]
[0.23999999 0.75999999]
[0.24       0.75999999]
[0.16       0.83999997]
[0.16 0.84]
[0.18       0.81999999]
[0.18       0.81999999]
[0.26       0.74000001]
[0.2        0.80000001]
[0.26       0.74000001]
[0.2        0.80000001]
[0.22 0.78]
[0.22 0.78]
[0.32000001 0.68000001]
[0.2        0.79999998]
[0.26       0.74000001]
[0.18       0.82000002]
[0.16       0.84000003]
[0.25999999 0.74000001]
[0.18       0.81999999]
[0.16 0.84]
[0.22 0.78]
[0.28000001 0.72      ]
[0.16 0.84]
[0.3        0.69999999]
[0.2        0.79999998]
[0.1        0.90000001]
[0.14       0.85999998]
[0.14       0.86000001]
[0.24       0.75999999]
[0.18       0.82000002]
[0.16       0.83999997]
[0.27999999 0.72      ]
[0.18       0.81999999]
[0.23999999 0.76000002]
[0.16 0.84]
[0.16       0.83999997]
[0.18       0.81999999]
[0.1        0.90000001]
[0.18       0.81999999]
[0.16 0.84]
