[1. 0.]
[0.77999997 0.22      ]
[0.84 0.16]
[0.86000001 0.14      ]
[0.62 0.38]
[0.85999998 0.14      ]
[0.72 0.28]
[0.54000001 0.45999999]
[0.54000002 0.45999999]
[0.63999999 0.36      ]
[0.68000001 0.31999999]
[0.62       0.38000001]
[0.48000002 0.52000001]
[0.58000001 0.42000001]
[0.44 0.56]
[0.54000002 0.45999999]
[0.57999998 0.42      ]
[0.42       0.58000001]
[0.56000002 0.44      ]
[0.52       0.47999999]
[0.61999999 0.38      ]
[0.62       0.38000001]
[0.36       0.64000002]
[0.26000001 0.74000001]
[0.59999999 0.39999999]
[0.45999999 0.53999999]
[0.52000001 0.48      ]
[0.52       0.47999999]
[0.41999999 0.58000001]
[0.52       0.48000002]
[0.58000001 0.42      ]
[0.48       0.52000001]
[0.46000001 0.54000001]
[0.41999999 0.58000001]
[0.56000002 0.44      ]
[0.44       0.55999999]
[0.38000001 0.62      ]
[0.38 0.62]
[0.44 0.56]
[0.51999998 0.47999999]
[0.44000001 0.56      ]
[0.3        0.69999999]
[0.52000001 0.48      ]
[0.34 0.66]
[0.23999999 0.75999999]
[0.56       0.43999999]
[0.31999999 0.67999998]
[0.44 0.56]
[0.46       0.54000001]
[0.26       0.74000001]
[0.37999999 0.62      ]
[0.3 0.7]
[0.40000001 0.59999999]
[0.36       0.63999999]
[0.28000001 0.71999998]
[0.22 0.78]
[0.2        0.80000001]
[0.24       0.76000002]
[0.24000001 0.75999998]
[0.32       0.68000001]
[0.26       0.73999998]
[0.46000001 0.54000001]
[0.3 0.7]
[0.34 0.66]
[0.39999999 0.59999999]
[0.16       0.84000003]
[0.23999999 0.75999999]
[0.2        0.80000001]
[0.24       0.76000002]
[0.24       0.76000002]
[0.12 0.88]
[0.2        0.80000001]
[0.3        0.69999999]
[0.12 0.88]
[0.08       0.91999999]
[0.2        0.80000001]
[0.34 0.66]
[0.31999999 0.67999999]
[0.14       0.86000001]
[0.1        0.90000001]
[0.14       0.85999998]
[0.34 0.66]
[0.32       0.67999999]
[0.2        0.80000001]
[0.16       0.84000003]
[0.14       0.86000001]
[0.16 0.84]
[0.12       0.88000003]
[0.18       0.81999999]
[0.22       0.78000002]
[0.08       0.92000002]
[0.06 0.94]
[0.02       0.98000002]
[0.14       0.86000001]
[0.14       0.85999998]
[0.08       0.91999999]
[0.16 0.84]
[0.04       0.96000001]
[0.1        0.90000001]
[0.1        0.90000001]
[0.08       0.91999999]
[0.08       0.91999999]
[0.06       0.94000003]
[0.04       0.96000001]
[0.08       0.92000002]
[0.08       0.91999999]
[0.06 0.94]
[0.06 0.94]
[0.08       0.91999999]
[0.02       0.97999999]
[0.04       0.96000001]
[0.04       0.96000001]
[0.02       0.97999999]
[0.02       0.98000002]
[0.12 0.88]
[0.04       0.95999998]
[0.06       0.93999997]
[0.04       0.96000001]
[0.         1.00000003]
[0.04       0.95999998]
[0.04       0.95999998]
[0.06       0.94000003]
[0.04       0.96000001]
[0.04       0.96000001]
[0.02       0.97999999]
[0.04       0.96000001]
[0.02       0.98000002]
[0.04       0.96000004]
[0.06 0.94]
