[1. 0.]
[0.14       0.85999998]
[0.34 0.66]
[0.14       0.86000001]
[0.18       0.81999999]
[0.08       0.91999999]
[0.1        0.90000001]
[0.18       0.81999999]
[0.23999999 0.75999999]
[0.22 0.78]
[0.16 0.84]
[0.26       0.73999998]
[0.20000001 0.80000001]
[0.23999999 0.75999999]
[0.14       0.85999998]
[0.23999999 0.75999999]
[0.18       0.82000002]
[0.16 0.84]
[0.12       0.87999998]
[0.26       0.74000001]
[0.24       0.75999999]
[0.28 0.72]
[0.2        0.80000001]
[0.24000001 0.75999999]
[0.22 0.78]
[0.14       0.85999998]
[0.12 0.88]
[0.24       0.75999999]
[0.22 0.78]
[0.22000001 0.78      ]
[0.22       0.78000002]
[0.08       0.91999999]
[0.22 0.78]
[0.24       0.75999999]
[0.16       0.83999997]
[0.22       0.78000003]
[0.22 0.78]
[0.26       0.73999998]
[0.16 0.84]
[0.2        0.80000001]
[0.26       0.73999998]
[0.23999999 0.76000002]
[0.22 0.78]
[0.16 0.84]
[0.16 0.84]
[0.22 0.78]
[0.2        0.79999998]
[0.24       0.76000002]
[0.18       0.82000002]
[0.2        0.80000001]
[0.22 0.78]
[0.22000001 0.78      ]
[0.24       0.75999999]
[0.26000001 0.74000001]
[0.14       0.86000001]
[0.22 0.78]
[0.32       0.68000001]
[0.18       0.82000002]
[0.28 0.72]
[0.16 0.84]
[0.23999999 0.75999999]
[0.18       0.82000001]
[0.16       0.83999997]
[0.22000001 0.78      ]
[0.2        0.80000001]
[0.28 0.72]
[0.26       0.74000001]
[0.2        0.79999998]
[0.22000001 0.78      ]
[0.18       0.81999999]
[0.14       0.86000001]
[0.26       0.73999998]
[0.26       0.74000001]
[0.26       0.74000001]
[0.22 0.78]
[0.22000001 0.78      ]
[0.14       0.85999998]
[0.24       0.75999999]
[0.16 0.84]
[0.22 0.78]
[0.22 0.78]
[0.22 0.78]
[0.18       0.82000002]
[0.34 0.66]
[0.22 0.78]
[0.26       0.74000001]
[0.24       0.75999998]
[0.18       0.81999999]
[0.18       0.81999999]
[0.16 0.84]
[0.2        0.79999998]
[0.3 0.7]
[0.2        0.79999998]
[0.12 0.88]
[0.18       0.81999999]
[0.2        0.79999998]
[0.26       0.73999998]
[0.20000001 0.80000001]
[0.23999999 0.76000002]
[0.28000001 0.72      ]
[0.22       0.78000002]
[0.22 0.78]
[0.24       0.75999999]
[0.26       0.73999998]
[0.16 0.84]
[0.28 0.72]
[0.14       0.86000001]
[0.22 0.78]
