[1. 0.]
[0.         0.99999998]
[0. 1.]
[0.02       0.98000002]
[0.         0.99999999]
[0.02 0.98]
[0.06 0.94]
[0.06 0.94]
[0.04       0.96000001]
[0.02       0.98000002]
[0.04       0.95999998]
[0.02       0.97999999]
[0.02       0.98000002]
[0.22 0.78]
[0.08       0.91999999]
[0.14       0.85999998]
[0.16 0.84]
[0.02       0.97999999]
[0.16       0.84000003]
[0.32       0.67999998]
[0.24000001 0.76000002]
[0.         1.00000003]
[0.08       0.91999999]
[0.06       0.93999997]
[0.14       0.86000001]
[0.08       0.91999999]
[0.04       0.95999998]
[0.16       0.83999997]
[0.26       0.73999998]
[0.02       0.97999999]
[0.1        0.90000001]
[0.04       0.96000001]
[0.02       0.97999999]
[0.22 0.78]
[0.04       0.95999998]
[0.         1.00000003]
[0.14       0.85999998]
[0.1        0.90000001]
[0.12       0.88000003]
[0.2        0.80000001]
[0.22 0.78]
[0.08       0.92000002]
[0.16 0.84]
[0.18       0.82000002]
[0.08       0.92000002]
[0.22000001 0.78      ]
[0.06 0.94]
[0.06 0.94]
[0.04       0.95999998]
[0.2        0.79999998]
[0.12 0.88]
[0.06       0.93999997]
[0.08       0.92000002]
[0.24       0.75999999]
[0.06       0.93999997]
[0.06       0.93999997]
[0.06 0.94]
[0.12 0.88]
[0.14       0.86000001]
[0.12 0.88]
[0.16 0.84]
[0.14       0.85999998]
[0.2        0.80000001]
[0.12       0.88000001]
[0.24       0.75999999]
[0.12 0.88]
[0.08       0.92000002]
[0.08       0.91999999]
[0.08       0.91999999]
[0.12 0.88]
[0.1        0.90000001]
[0.1        0.89999998]
[0.04       0.96000001]
[0.08       0.91999999]
[0.14       0.85999998]
[0.08       0.92000002]
[0.1        0.90000001]
[0.08       0.91999999]
[0.23999999 0.75999999]
[0.04       0.96000001]
[0.06       0.93999997]
[0.12 0.88]
[0.12       0.88000003]
[0.08       0.91999999]
[0.12 0.88]
[0.08       0.92000002]
[0.1        0.90000001]
[0.12 0.88]
[0.08       0.92000002]
[0.24       0.75999999]
[0.08       0.91999999]
[0.06 0.94]
[0.14       0.86000001]
[0.06 0.94]
[0.08       0.92000002]
[0.16       0.83999997]
[0.16 0.84]
[0.1        0.90000001]
[0.12 0.88]
[0.2        0.80000001]
[0.1        0.89999998]
[0.08       0.91999999]
[0.08       0.92000002]
[0.1        0.89999998]
[0.08       0.91999999]
[0.22 0.78]
[0.36       0.64000002]
[0.1        0.90000001]
[0.16 0.84]
[0.06 0.94]
[0.02       0.98000002]
[0.2        0.79999998]
[0.14       0.85999998]
[0.02       0.98000002]
[0.04       0.95999998]
[0.02       0.97999999]
[0.1        0.89999998]
[0.16 0.84]
[0.04       0.96000001]
[0.1        0.89999998]
[0.1        0.90000001]
[0.2        0.80000001]
[0.31999999 0.67999998]
[0.14       0.85999998]
[0.08       0.91999999]
[0.1        0.90000004]
[0.14       0.86000001]
[0.18       0.81999999]
[0.18       0.81999999]
[0.08       0.92000002]
[0.04       0.95999998]
[0.04       0.96000001]
[0.12       0.88000003]
[0.18       0.81999999]
[0.12       0.88000003]
[0.08       0.92000002]
[0.2        0.80000001]
[0.12       0.88000003]
[0.1        0.90000001]
[0.06       0.94000003]
[0.08       0.91999999]
[0.06 0.94]
[0.08       0.92000002]
[0.         0.99999997]
[0.06       0.93999997]
[0.1        0.89999998]
[0.12       0.88000003]
[0.06 0.94]
[0.06       0.94000003]
[0.08       0.91999999]
[0.06 0.94]
[0.06 0.94]
[0.06       0.94000003]
[0.08       0.92000002]
[0.06       0.94000003]
[0.16 0.84]
[0.08       0.91999999]
[0.04       0.96000004]
[0.08       0.92000002]
[0.04       0.95999998]
[0. 1.]
[0.02       0.98000002]
[0.16 0.84]
[0.18000001 0.81999999]
[0.04       0.96000001]
[0.1        0.90000001]
[0.06 0.94]
[0.26       0.73999998]
[0.06 0.94]
[0.04       0.96000001]
[0.08       0.92000002]
[0.04       0.96000004]
[0.         0.99999997]
[0.02       0.97999999]
[0. 1.]
[0. 1.]
[0.16       0.83999997]
[0.08       0.91999999]
[0.02       0.97999999]
[0.06 0.94]
[0.16       0.83999997]
[0.18       0.82000002]
[0.02       0.97999999]
[0.22       0.77999999]
[0.23999999 0.76000002]
[0.06       0.93999997]
[0.         1.00000003]
[0.02       0.97999999]
[0.1        0.89999998]
[0.04       0.96000001]
[0.1        0.90000001]
[0.18       0.81999999]
[0.14       0.85999998]
[0.08       0.92000002]
[0.22       0.77999999]
[0.08       0.92000002]
[0.02       0.97999999]
[0.06 0.94]
[0.04       0.95999998]
[0.22       0.77999999]
[0.06       0.94000003]
[0.14       0.85999998]
[0.06 0.94]
[0.14       0.86000001]
[0.02       0.97999999]
[0.02       0.98000002]
[0.18       0.82000001]
[0.04       0.96000004]
[0.04       0.95999998]
[0.20000001 0.8       ]
[0.06 0.94]
[0.1        0.90000001]
[0.22       0.78000002]
[0.04       0.95999998]
[0.18       0.81999999]
[0.06 0.94]
[0.1        0.90000001]
[0.06 0.94]
[0.06 0.94]
[0.2 0.8]
[0.16       0.83999997]
[0.08       0.91999999]
[0.08       0.91999999]
[0.04       0.96000001]
[0.         1.00000003]
[0.         1.00000003]
[0.08       0.91999999]
[0.04       0.95999998]
[0.04       0.95999998]
[0.2        0.80000003]
[0. 1.]
[0.06 0.94]
[0.         0.99999997]
[0.08       0.92000002]
[0.08       0.91999999]
[0.12       0.88000003]
[0.12 0.88]
[0.1        0.89999998]
[0.04       0.96000001]
[0.02       0.98000002]
[0.12       0.88000001]
[0.02       0.97999999]
[0.16       0.83999999]
[0.12       0.87999998]
[0.         0.99999997]
[0.08       0.91999999]
[0.04       0.96000004]
[0.14       0.85999998]
[0.08       0.91999999]
[0.12 0.88]
[0.         1.00000003]
[0.16 0.84]
[0.06       0.94000003]
[0.06 0.94]
[0.1        0.89999998]
[0.1        0.89999998]
[0.04       0.96000001]
[0.08       0.92000002]
[0.02       0.97999999]
[0.12       0.88000003]
[0.02       0.97999999]
[0.04       0.96000001]
[0.12       0.88000003]
[0.12 0.88]
[0.1        0.89999998]
[0.1        0.89999998]
[0.08       0.92000002]
[0.08       0.92000002]
[0.14       0.86000001]
[0.04       0.95999998]
[0.04       0.96000001]
[0.         0.99999997]
[0.06 0.94]
[0.02       0.97999999]
[0.         0.99999997]
[0.04       0.96000001]
[0.08       0.91999999]
[0.04       0.95999998]
[0.06 0.94]
[0.08       0.92000002]
[0.18       0.82000002]
[0.06       0.94000003]
[0.08       0.91999999]
[0.26       0.74000001]
[0.04       0.96000004]
[0.14       0.85999998]
[0.06 0.94]
[0.06 0.94]
[0.06       0.94000003]
[0.06       0.93999998]
[0.12       0.88000003]
[0.18       0.82000002]
[0.1        0.90000004]
[0.         1.00000003]
[0.         1.00000003]
[0.12 0.88]
[0.06       0.94000003]
[0.14       0.86000001]
[0.06       0.94000003]
[0.08       0.92000002]
[0.3 0.7]
[0.04       0.96000001]
[0.08       0.92000002]
[0.16       0.84000003]
[0.08       0.92000002]
[0.06 0.94]
[0.02       0.97999999]
[0.16       0.83999997]
[0.08       0.92000002]
[0.02       0.97999999]
[0.14       0.86000001]
[0.14       0.86000001]
[0.08       0.92000002]
[0.02       0.97999999]
[0.08       0.92000002]
[0.04       0.95999998]
[0.1        0.90000001]
[0.12 0.88]
[0.08       0.91999999]
[0.06 0.94]
[0.18       0.81999999]
[0.14       0.86000001]
[0.08       0.91999999]
[0.         1.00000003]
[0.06 0.94]
[0.02       0.97999999]
[0.02       0.97999999]
[0.16       0.83999999]
[0.14       0.85999998]
[0.14       0.86000001]
[0.06       0.94000003]
[0.04       0.96000001]
[0.24000001 0.75999999]
[0.16 0.84]
[0.12 0.88]
[0.         0.99999997]
[0.2        0.80000001]
[0.18       0.81999999]
[0.2        0.79999998]
[0.16       0.83999997]
[0.1        0.90000001]
[0.24       0.76000001]
[0.14       0.86000001]
[0.08       0.91999999]
[0.08       0.92000002]
[0.1        0.90000001]
[0.08       0.91999999]
[0. 1.]
[0.08       0.92000002]
[0.02       0.97999999]
[0.2        0.79999998]
[0.14       0.85999998]
[0.04       0.96000001]
[0.12       0.88000003]
[0.12 0.88]
[0.12 0.88]
[0.12       0.88000003]
[0.04       0.95999998]
[0.02       0.98000002]
[0.08       0.91999999]
[0.29999999 0.69999999]
[0.02       0.98000002]
[0.06       0.93999997]
[0.1        0.90000001]
[0.04       0.96000001]
[0.02       0.97999999]
[0.22       0.77999999]
[0.16 0.84]
[0.04       0.96000004]
[0. 1.]
[0.12 0.88]
[0.22       0.78000002]
[0.16 0.84]
[0.02       0.98000002]
[0.12 0.88]
[0.06 0.94]
[0.06       0.94000003]
[0.35999999 0.64      ]
[0.14       0.86000001]
[0.02       0.97999999]
[0.16 0.84]
[0.06 0.94]
[0.04       0.96000001]
[0.04       0.95999998]
[0.12       0.88000003]
[0.06       0.94000003]
[0.1        0.90000001]
[0.04       0.95999998]
[0.         0.99999997]
[0.14       0.85999998]
[0. 1.]
[0.14       0.86000001]
[0.06 0.94]
[0.2        0.79999998]
